       N;       lnN;td
1;0;1
2;1;0,6175
3;1,584962501;0,49
4;2;0,42625
5;2,321928095;0,388
6;2,584962501;0,3625
7;2,807354922;0,344285714
8;3;0,330625
9;3,169925001;0,32
10;3,321928095;0,3115
11;3,459431619;0,304545455
12;3,584962501;0,29875
13;3,700439718;0,293846154
14;3,807354922;0,289642857
15;3,906890596;0,286
16;4;0,2828125
17;4,087462841;0,28
18;4,169925001;0,2775
19;4,247927513;0,275263158
20;4,321928095;0,27325
21;4,392317423;0,271428571
22;4,459431619;0,269772727
23;4,523561956;0,26826087
24;4,584962501;0,266875
25;4,64385619;0,2656
26;4,700439718;0,264423077
27;4,754887502;0,263333333
28;4,807354922;0,262321429
29;4,857980995;0,26137931
30;4,906890596;0,2605
31;4,95419631;0,259677419
32;5;0,25890625
33;5,044394119;0,258181818
34;5,087462841;0,2575
35;5,129283017;0,256857143
36;5,169925001;0,25625
37;5,209453366;0,255675676
38;5,247927513;0,255131579
39;5,285402219;0,254615385
40;5,321928095;0,254125
41;5,357552005;0,253658537
42;5,392317423;0,253214286
43;5,426264755;0,252790698
44;5,459431619;0,252386364
45;5,491853096;0,252
46;5,523561956;0,251630435
47;5,554588852;0,251276596
48;5,584962501;0,2509375
49;5,614709844;0,250612245
50;5,64385619;0,2503
51;5,672425342;0,25
52;5,700439718;0,249711538
53;5,727920455;0,249433962
54;5,754887502;0,249166667
55;5,781359714;0,248909091
56;5,807354922;0,248660714
57;5,832890014;0,248421053
58;5,857980995;0,248189655
59;5,882643049;0,247966102
60;5,906890596;0,24775
61;5,930737338;0,247540984
62;5,95419631;0,24733871
63;5,977279923;0,247142857
64;6;0,246953125
65;6,022367813;0,246769231
66;6,044394119;0,246590909
67;6,06608919;0,24641791
68;6,087462841;0,24625
69;6,108524457;0,246086957
70;6,129283017;0,245928571
71;6,14974712;0,245774648
72;6,169925001;0,245625
73;6,189824559;0,245479452
74;6,209453366;0,245337838
75;6,22881869;0,2452
76;6,247927513;0,245065789
77;6,266786541;0,244935065
78;6,285402219;0,244807692
79;6,303780748;0,244683544
80;6,321928095;0,2445625
81;6,339850003;0,244444444
82;6,357552005;0,244329268
83;6,375039431;0,244216867
84;6,392317423;0,244107143
85;6,409390936;0,244
86;6,426264755;0,243895349
87;6,442943496;0,243793103
88;6,459431619;0,243693182
89;6,475733431;0,243595506
90;6,491853096;0,2435
91;6,50779464;0,243406593
92;6,523561956;0,243315217
93;6,539158811;0,243225806
94;6,554588852;0,243138298
95;6,569855608;0,243052632
96;6,584962501;0,24296875
97;6,599912842;0,242886598
98;6,614709844;0,242806122
99;6,62935662;0,242727273
100;6,64385619;0,24265
101;6,658211483;0,242574257
102;6,672425342;0,2425
103;6,686500527;0,242427184
104;6,700439718;0,242355769
105;6,714245518;0,242285714
106;6,727920455;0,242216981
107;6,741466986;0,242149533
108;6,754887502;0,242083333
109;6,768184325;0,242018349
110;6,781359714;0,241954545
111;6,794415866;0,241891892
112;6,807354922;0,241830357
113;6,820178962;0,241769912
114;6,832890014;0,241710526
115;6,845490051;0,241652174
116;6,857980995;0,241594828
117;6,87036472;0,241538462
118;6,882643049;0,241483051
119;6,894817763;0,241428571
120;6,906890596;0,241375
121;6,918863237;0,241322314
122;6,930737338;0,241270492
123;6,942514505;0,241219512
124;6,95419631;0,241169355
125;6,965784285;0,24112
126;6,977279923;0,241071429
127;6,988684687;0,241023622
128;7;0,240976563
129;7,011227255;0,240930233
130;7,022367813;0,240884615
131;7,033423002;0,240839695
132;7,044394119;0,240795455
133;7,055282436;0,24075188
134;7,06608919;0,240708955
135;7,076815597;0,240666667
136;7,087462841;0,240625
137;7,098032083;0,240583942
138;7,108524457;0,240543478
139;7,118941073;0,240503597
140;7,129283017;0,240464286
141;7,139551352;0,240425532
142;7,14974712;0,240387324
143;7,159871337;0,24034965
144;7,169925001;0,2403125
145;7,17990909;0,240275862
146;7,189824559;0,240239726
147;7,199672345;0,240204082
148;7,209453366;0,240168919
149;7,21916852;0,240134228
150;7,22881869;0,2401
151;7,238404739;0,240066225
152;7,247927513;0,240032895
153;7,257387843;0,24
154;7,266786541;0,239967532
155;7,276124405;0,239935484
156;7,285402219;0,239903846
157;7,294620749;0,239872611
158;7,303780748;0,239841772
159;7,312882955;0,239811321
160;7,321928095;0,23978125
161;7,330916878;0,239751553
162;7,339850003;0,239722222
163;7,348728154;0,239693252
164;7,357552005;0,239664634
165;7,366322214;0,239636364
166;7,375039431;0,239608434
167;7,383704292;0,239580838
168;7,392317423;0,239553571
169;7,400879436;0,239526627
170;7,409390936;0,2395
171;7,417852515;0,239473684
172;7,426264755;0,239447674
173;7,434628228;0,239421965
174;7,442943496;0,239396552
175;7,451211112;0,239371429
176;7,459431619;0,239346591
177;7,46760555;0,239322034
178;7,475733431;0,239297753
179;7,483815777;0,239273743
180;7,491853096;0,23925
181;7,499845887;0,239226519
182;7,50779464;0,239203297
183;7,515699838;0,239180328
184;7,523561956;0,239157609
185;7,531381461;0,239135135
186;7,539158811;0,239112903
187;7,54689446;0,239090909
188;7,554588852;0,239069149
189;7,562242424;0,239047619
190;7,569855608;0,239026316
191;7,577428828;0,239005236
192;7,584962501;0,238984375
193;7,592457037;0,238963731
194;7,599912842;0,238943299
195;7,607330314;0,238923077
196;7,614709844;0,238903061
197;7,622051819;0,238883249
198;7,62935662;0,238863636
199;7,636624621;0,238844221
200;7,64385619;0,238825
201;7,651051691;0,23880597
202;7,658211483;0,238787129
203;7,665335917;0,238768473
204;7,672425342;0,23875
205;7,6794801;0,238731707
206;7,686500527;0,238713592
207;7,693486957;0,238695652
208;7,700439718;0,238677885
209;7,707359132;0,238660287
210;7,714245518;0,238642857
211;7,721099189;0,238625592
212;7,727920455;0,238608491
213;7,73470962;0,238591549
214;7,741466986;0,238574766
215;7,74819285;0,23855814
216;7,754887502;0,238541667
217;7,761551232;0,238525346
218;7,768184325;0,238509174
219;7,77478706;0,238493151
220;7,781359714;0,238477273
221;7,787902559;0,238461538
222;7,794415866;0,238445946
223;7,8008999;0,238430493
224;7,807354922;0,238415179
225;7,813781191;0,2384
226;7,820178962;0,238384956
227;7,826548487;0,238370044
228;7,832890014;0,238355263
229;7,839203788;0,238340611
230;7,845490051;0,238326087
231;7,851749041;0,238311688
232;7,857980995;0,238297414
233;7,864186145;0,238283262
234;7,87036472;0,238269231
235;7,876516947;0,238255319
236;7,882643049;0,238241525
237;7,888743249;0,238227848
238;7,894817763;0,238214286
239;7,900866808;0,238200837
240;7,906890596;0,2381875
241;7,912889336;0,238174274
242;7,918863237;0,238161157
243;7,924812504;0,238148148
244;7,930737338;0,238135246
245;7,936637939;0,238122449
246;7,942514505;0,238109756
247;7,948367232;0,238097166
248;7,95419631;0,238084677
249;7,960001932;0,238072289
250;7,965784285;0,23806
251;7,971543554;0,238047809
252;7,977279923;0,238035714
253;7,982993575;0,238023715
254;7,988684687;0,238011811
255;7,994353437;0,238
256;8;0,237988281
257;8,005624549;0,237976654
258;8,011227255;0,237965116
259;8,016808288;0,237953668
260;8,022367813;0,237942308
261;8,027905997;0,237931034
262;8,033423002;0,237919847
263;8,038918989;0,237908745
264;8,044394119;0,237897727
265;8,049848549;0,237886792
266;8,055282436;0,23787594
267;8,060695932;0,237865169
268;8,06608919;0,237854478
269;8,071462363;0,237843866
270;8,076815597;0,237833333
271;8,082149041;0,237822878
272;8,087462841;0,2378125
273;8,092757141;0,237802198
274;8,098032083;0,237791971
275;8,103287808;0,237781818
276;8,108524457;0,237771739
277;8,113742166;0,237761733
278;8,118941073;0,237751799
279;8,124121312;0,237741935
280;8,129283017;0,237732143
281;8,13442632;0,23772242
282;8,139551352;0,237712766
283;8,144658243;0,23770318
284;8,14974712;0,237693662
285;8,154818109;0,237684211
286;8,159871337;0,237674825
287;8,164906927;0,237665505
288;8,169925001;0,23765625
289;8,174925683;0,237647059
290;8,17990909;0,237637931
291;8,184875343;0,237628866
292;8,189824559;0,237619863
293;8,194756854;0,237610922
294;8,199672345;0,237602041
295;8,204571144;0,23759322
296;8,209453366;0,237584459
297;8,214319121;0,237575758
298;8,21916852;0,237567114
299;8,224001674;0,237558528
300;8,22881869;0,23755
301;8,233619677;0,237541528
302;8,238404739;0,237533113
303;8,243173983;0,237524752
304;8,247927513;0,237516447
305;8,252665432;0,237508197
306;8,257387843;0,2375
307;8,262094845;0,237491857
308;8,266786541;0,237483766
309;8,271463028;0,237475728
310;8,276124405;0,237467742
311;8,28077077;0,237459807
312;8,285402219;0,237451923
313;8,290018847;0,237444089
314;8,294620749;0,237436306
315;8,299208018;0,237428571
316;8,303780748;0,237420886
317;8,30833903;0,237413249
318;8,312882955;0,23740566
319;8,317412614;0,237398119
320;8,321928095;0,237390625
321;8,326429487;0,237383178
322;8,330916878;0,237375776
323;8,335390355;0,237368421
324;8,339850003;0,237361111
325;8,344295908;0,237353846
326;8,348728154;0,237346626
327;8,353146825;0,23733945
328;8,357552005;0,237332317
329;8,361943774;0,237325228
330;8,366322214;0,237318182
331;8,370687407;0,237311178
332;8,375039431;0,237304217
333;8,379378367;0,237297297
334;8,383704292;0,237290419
335;8,388017285;0,237283582
336;8,392317423;0,237276786
337;8,396604781;0,23727003
338;8,400879436;0,237263314
339;8,405141463;0,237256637
340;8,409390936;0,23725
341;8,413627929;0,237243402
342;8,417852515;0,237236842
343;8,422064766;0,237230321
344;8,426264755;0,237223837
345;8,430452552;0,237217391
346;8,434628228;0,237210983
347;8,438791853;0,237204611
348;8,442943496;0,237198276
349;8,447083226;0,237191977
350;8,451211112;0,237185714
351;8,45532722;0,237179487
352;8,459431619;0,237173295
353;8,463524373;0,237167139
354;8,46760555;0,237161017
355;8,471675214;0,23715493
356;8,475733431;0,237148876
357;8,479780264;0,237142857
358;8,483815777;0,237136872
359;8,487840034;0,237130919
360;8,491853096;0,237125
361;8,495855027;0,237119114
362;8,499845887;0,23711326
363;8,503825738;0,237107438
364;8,50779464;0,237101648
365;8,511752654;0,23709589
366;8,515699838;0,237090164
367;8,519636253;0,237084469
368;8,523561956;0,237078804
369;8,527477006;0,237073171
370;8,531381461;0,237067568
371;8,535275377;0,237061995
372;8,539158811;0,237056452
373;8,54303182;0,237050938
374;8,54689446;0,237045455
375;8,550746785;0,23704
376;8,554588852;0,237034574
377;8,558420713;0,237029178
378;8,562242424;0,23702381
379;8,566054038;0,23701847
380;8,569855608;0,237013158
381;8,573647187;0,237007874
382;8,577428828;0,237002618
383;8,581200582;0,236997389
384;8,584962501;0,236992188
385;8,588714636;0,236987013
386;8,592457037;0,236981865
387;8,596189756;0,236976744
388;8,599912842;0,236971649
389;8,603626345;0,236966581
390;8,607330314;0,236961538
391;8,611024797;0,236956522
392;8,614709844;0,236951531
393;8,618385502;0,236946565
394;8,622051819;0,236941624
395;8,625708843;0,236936709
396;8,62935662;0,236931818
397;8,632995197;0,236926952
398;8,636624621;0,236922111
399;8,640244936;0,236917293
400;8,64385619;0,2369125
401;8,647458426;0,236907731
402;8,651051691;0,236902985
403;8,654636029;0,236898263
404;8,658211483;0,236893564
405;8,661778098;0,236888889
406;8,665335917;0,236884236
407;8,668884984;0,236879607
408;8,672425342;0,236875
409;8,675957033;0,236870416
410;8,6794801;0,236865854
411;8,682994584;0,236861314
412;8,686500527;0,236856796
413;8,689997971;0,2368523
414;8,693486957;0,236847826
415;8,696967526;0,236843373
416;8,700439718;0,236838942
417;8,703903573;0,236834532
418;8,707359132;0,236830144
419;8,710806434;0,236825776
420;8,714245518;0,236821429
421;8,717676423;0,236817102
422;8,721099189;0,236812796
423;8,724513853;0,236808511
424;8,727920455;0,236804245
425;8,731319031;0,2368
426;8,73470962;0,236795775
427;8,73809226;0,236791569
428;8,741466986;0,236787383
429;8,744833837;0,236783217
430;8,74819285;0,23677907
431;8,751544059;0,236774942
432;8,754887502;0,236770833
433;8,758223215;0,236766744
434;8,761551232;0,236762673
435;8,764871591;0,236758621
436;8,768184325;0,236754587
437;8,77148947;0,236750572
438;8,77478706;0,236746575
439;8,77807713;0,236742597
440;8,781359714;0,236738636
441;8,784634846;0,236734694
442;8,787902559;0,236730769
443;8,791162889;0,236726862
444;8,794415866;0,236722973
445;8,797661526;0,236719101
446;8,8008999;0,236715247
447;8,804131021;0,236711409
448;8,807354922;0,236707589
449;8,810571635;0,236703786
450;8,813781191;0,2367
451;8,816983623;0,236696231
452;8,820178962;0,236692478
453;8,82336724;0,236688742
454;8,826548487;0,236685022
455;8,829722735;0,236681319
456;8,832890014;0,236677632
457;8,836050355;0,236673961
458;8,839203788;0,236670306
459;8,842350343;0,236666667
460;8,845490051;0,236663043
461;8,84862294;0,236659436
462;8,851749041;0,236655844
463;8,854868383;0,236652268
464;8,857980995;0,236648707
465;8,861086906;0,236645161
466;8,864186145;0,236641631
467;8,86727874;0,236638116
468;8,87036472;0,236634615
469;8,873444113;0,23663113
470;8,876516947;0,23662766
471;8,87958325;0,236624204
472;8,882643049;0,236620763
473;8,885696373;0,236617336
474;8,888743249;0,236613924
475;8,891783703;0,236610526
476;8,894817763;0,236607143
477;8,897845456;0,236603774
478;8,900866808;0,236600418
479;8,903881846;0,236597077
480;8,906890596;0,23659375
481;8,909893084;0,236590437
482;8,912889336;0,236587137
483;8,915879379;0,236583851
484;8,918863237;0,236580579
485;8,921840937;0,23657732
486;8,924812504;0,236574074
487;8,927777962;0,236570842
488;8,930737338;0,236567623
489;8,933690655;0,236564417
490;8,936637939;0,236561224
491;8,939579214;0,236558045
492;8,942514505;0,236554878
493;8,945443836;0,236551724
494;8,948367232;0,236548583
495;8,951284715;0,236545455
496;8,95419631;0,236542339
497;8,957102042;0,236539235
498;8,960001932;0,236536145
499;8,962896005;0,236533066
500;8,965784285;0,23653
501;8,968666793;0,236526946
502;8,971543554;0,236523904
503;8,97441459;0,236520875
504;8,977279923;0,236517857
505;8,980139578;0,236514851
506;8,982993575;0,236511858
507;8,985841937;0,236508876
508;8,988684687;0,236505906
509;8,991521846;0,236502947
510;8,994353437;0,2365
511;8,997179481;0,236497065
512;9;0,236494141
513;9,002815016;0,236491228
514;9,005624549;0,236488327
515;9,008428622;0,236485437
516;9,011227255;0,236482558
517;9,01402047;0,236479691
518;9,016808288;0,236476834
519;9,019590728;0,236473988
520;9,022367813;0,236471154
521;9,025139562;0,23646833
522;9,027905997;0,236465517
523;9,030667136;0,236462715
524;9,033423002;0,236459924
525;9,036173613;0,236457143
526;9,038918989;0,236454373
527;9,041659152;0,236451613
528;9,044394119;0,236448864
529;9,047123912;0,236446125
530;9,049848549;0,236443396
531;9,052568051;0,236440678
532;9,055282436;0,23643797
533;9,057991723;0,236435272
534;9,060695932;0,236432584
535;9,063395081;0,236429907
536;9,06608919;0,236427239
537;9,068778278;0,236424581
538;9,071462363;0,236421933
539;9,074141463;0,236419295
540;9,076815597;0,236416667
541;9,079484784;0,236414048
542;9,082149041;0,236411439
543;9,084808388;0,23640884
544;9,087462841;0,23640625
545;9,09011242;0,23640367
546;9,092757141;0,236401099
547;9,095397023;0,236398537
548;9,098032083;0,236395985
549;9,100662339;0,236393443
550;9,103287808;0,236390909
551;9,105908509;0,236388385
552;9,108524457;0,23638587
553;9,11113567;0,236383363
554;9,113742166;0,236380866
555;9,116343961;0,236378378
556;9,118941073;0,236375899
557;9,121533517;0,236373429
558;9,124121312;0,236370968
